text
"When you’re mad you got to say, God is good. God is great God is. go od then make the Ohio sound"
°_° boring
Hey frustrated gamer  today&#39;s let&#39;s play  build  a boat for treasure   please 😊
hey frustrated game  today&#39;s play build a boat for treasure  wheel day  with me
tfg can you watch hazbin hotel?
This comment wont get 0 likes
Your so good
Please can you play stick over it😅 its the most hardest moblie game
"Hey Brandon, the name of poppy playtime chapter 4 is  One zero zero  six."
"<a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=661"">11:01</a>"
"Brandon i think i might have a few ideas of games you ob, spy cakes, and Camodo can play together!"
Bro I been trying to find you Chanel since I was 11now I&#39;m 17 now I found you good video
Only a true tfg fan can like this comment
70 part 2 and part 3 released ep71 skibidi  toilet
Brandon whenever he says so far so gooey always dies and then still repeats it over again. 😂
Under 15 hour😭
brandon pls add me in google chat
Play Minecraft!
You can hold onto the blue bush forever and you are doing better than kindly keying
WHY IS HE SO FUNNY WHEN U PAUSE THE VID ITS MAKING ME LAUGH SO HARD 😂
I wish I could go back in 2018 because that’s when he started playing with OB tomorrow in spy cakes I wish I could get one more live stream of your playing with each other again
Like if Brandon is the best YouTuber 🎉🎉
Under a day gang<br>👇
BEAT it
Day 1 of asking g to play blade ball.
If you could wish me a happy birthday I will give you a cookie 🍪
"This evidence was very enjoyable to watch, now I want special Ed to play this!"
Pls make more of these videos
Play blades basics in your bathroom 29. I remember it three years ago March 7.
Brandon watch the new Scooby-Doo toilet 70 please can I watch you tomorrow I like a channels
Eyy
AGTAC
does anyone agree with me on this should TFG bring fall guys back to the channel because I want fall guys back😊
get more endings in<br> YOU GET LOCKED IN THE BATHROOM
If u play roblox play baldi i will donate u 100$
Why don&#39;t you play with  spy cakes<br><br> anymore
Can you play geometry dash please
Under 12 hours gang ⬇️
You should play Clone Drone In The Danger Zone. It&#39;s a really fun game about fighting robots and upgrading weapons!
"hey brandon, speaking about the hardest game, there is also another hard game called No Humanity, u should make a video on it or something"
Who agrees thatt the frustrated gamer is the best youtuber❤
Pls play more fnf
Watch skibidi toilet you need to
tfg is the GOAT brandon is so funny
Day 4 of asking fifth to play stray🐱🐱
Yes
"I want you to finish it all, even if you struggle to your life"
Can you play Toilet Chronicols PLEAAAAASE
I don&#39;t know why but it was so funny to see Brandon scream
"<a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=258"">4:18</a> “I’m not scared”💀"
"<a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=255"">4:15</a> ahhhhh"
"Hi guys,I am 10 years old ,my gaming channel name is <b>SS Smart Slayer</b> <br>Watch my videos and if you like it, Subscribe my channel <br>I like your videos very very much the frustrated gamer<br>And please tell your fans about my channel and support me <br>THANK YOU VERY MUCH"
I really want to see you beat this game !!!!
watch skibidi toilet please 🥺 but anyway do you know that I&#39;m subscribed to you
I want you to play super duper ultra fast baldis basics again
Let’s call the man Micheal Jordan😂
Mr tfg do you support Palestine 🇵🇸  Or Israel 🇮🇱 . People who support Palestine 🇵🇸<br>👇
brandon can you pleaseeeeee play that&#39;s not my nighbor again???? i really wanna see😭😭😭😭
"<a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=338"">5:38</a> made me laugh so hard😂😂😂😂😂"
iv been wqthing your videos for over 6 years
favorite youtuber
I love you
Who thinks Brandon never fails to make us laugh❤<br>⬇️
This game is a speedrun to break your hand😭
Make more scary teacher 3d videos. If anybody wants more vids of scary teacher 3d then like this commet
Please can you play nightlight it’s on roblox
Yes do more of that game
I NEED MORE BATHROOM GAME I LOVED IT
Can you please play more Minecraft
Brandon could you watch skibidi toilet
Im not scared you are 😂
"I love your videos. They help me cope with life&#39;s problems. I have a problem in my life right now. I lost my baby boy. He was born very unwell, but he started to get better so I got to hopeful. He died at just 4 months old. My 5 year old daughter, myself, and my husband cried when I told them. I miss him everyday and if it wasn&#39;t for my daughter I would be done with the world. Thank you so much for your hard work on the videos and thank you for helping me thorough this. I love your videos.<br><br>Eidt: Please don&#39;t be mean if you don&#39;t care don&#39;t reply. I&#39;ve been crying every night in my bathroom. I miss him more everyday. I&#39;m crying right now."
Nice 😊
🇮🇹🤌
Day 3 of asking Brandon to play kinito pet on the channel again
Brandon play jhonny trigger
Of course I am back and I always say this but day 30 of asking Brandon to playRoblox Bake  Da Baby❤❤❤❤❤❤
hiiiii omg only 5 hrs
"As an autistic person I just see this as ..<br>Brandons internal silliness <br>(I love this video help, also Brandon posts everyday so.. happiness everyday :3)"
"Brandon play part 2of baldi goes crazy <a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=136"">2:16</a> <a href=""https://www.youtube.com/watch?v=RqlZ0OFyITY&amp;t=138"">2:18</a>"
"You need to play this more, it would be an insane series"
Brandon: The wooden stick of death<br><br>Me: Peak you call it peak brandon
Like if you love TFG
Yeah TFG make part 2 i would love to see you make it also struggle idk if it was mean comment lol
5hr gang
Um try baldi basics 3rd question 2nd notebook enter-31718
Tfg i want more geometry dash 💜 i recomend you use the color purple color from the achievement trial and error
𝐎𝐤𝐚𝐲
Pls play roblox need more poop😏
Listen      to poppy playtime chapter 3 song Sleepwell
THE HELLLLL
"Great video Brandon 👍, you entertain us like always 👏😊.<br>Keep up the great work 😊👍!"
Please play deeeer simulator
i miss ninja legends pls play it again
Day 310 of asking tfg to play fc mobile
YES 4 hr agooo
Please play Mario and Luigi superstar saga
pls do watch skibidi toilet
Fall into depression wish of tfg giving a heart in this comment
Brandon please save catnap ending and i love your videos
text
I would love to see you play “That’s Not My Neighbor”
My time passed by 2 minutes
🎉🎉🎉🎉🎉it&#39;s my friends birthday in 5 days
I DID IT WITH NO EYES
"<a href=""https://www.youtube.com/watch?v=nX6mvIhhLiY&amp;t=135"">2:15</a>"
2.15
2.15
"Rrrrrrrrrrrrrrrrr <a href=""https://www.youtube.com/watch?v=nX6mvIhhLiY&amp;t=195"">3:15</a>"
This video is just crazy funny😂😂😂😂😂😂 I love your videos.❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
How is seht doing😊
"Try out endoparasitic, it&#39;s also a game played with only mouse"
Keyin you getting better?
Coooooooool
Best YouTuber
I LOVE YOUR VIDS!!!!!
Next can you do Ragdoll Anti Gravity in roblox? Im not forcing
I started watching this guy when I was 6 years old and 6 years later.I&#39;m still watching him Is actually almost seven years This guy made my whole childhood
I haven’t watch Keyin in a long time. Glad he’s still exactly the same.
Naked BOY!!!.
only keyin fans can liek this comment
Do yourself a massive favor and use a gamepad. So much easier on your forearm. Pulling up is so much more fluid too.
I live in hawaii
Kindly Keyin trying his best not to cuss in his videos:
You need to play more merge dinosaurs
"I haven&#39;t watched one of your videos in 7 years, I&#39;m glad your still here."
👉🏻🤚🫲
Broski…… I’m surprised you played that for so long. I would have quit in like 5 seconds!!!
Kindly keyin I&#39;m sorry you literally fell all the way to the bottom
Me
I’ve been watching keyin for the past nine years he has had this channel I was one of his 30th subsribers
"EVEN THE GAME NEW THE TITLE OF THE VIDEO, wait why am I screaming like this. 😐"
I THINK BALDI HAD A NEW UPDATE CHECK IT OUT
"<a href=""https://www.youtube.com/watch?v=nX6mvIhhLiY&amp;t=884"">14:44</a> palatine be talking to Keyin?"
It’s like the game getting over it
Me I&#39;m Using my mom&#39;s account
Fair warning: this game is hard 😠😠😠
"Ha ha ha it’s so funny that when kindly falls down, and I feel bad for him because he’s pretty sick"
Average day in blades &amp; sorcery:
"Not only this game is like Getting Over it with Bennett Foddy, but Diogenes finally got out of the pot!!"
Climb
you should play this game another time to try and beat it
Bro I watched making the game earlier 😂
Bbccs 5
You should play baldis basics bocce 5
Isn’t this a copy of getting over it💀
Pls show more of seth!!!
This game is worst than Getting Over It with Bennett Foddy.
this was posted 9 hrs ago- earliest ive ever beennnn
We&#39;re does Keyin live
Me
play eternal cylinder it is super fun i love your vids ive been watching them since you made the channel
this game is abseloutly stupid
Me
Can you please play my singing monsters next?
